width_inches,height_inches,inventory_number,object_id,object_type,title,unique_id,artist,img_link,color_tags
66.5,90.0,1070,379236,Painting,The Key,3809141462,"Bosman, Richard b. 1944",https://api.collectorsystems.com/11184/objects/379236/mainimage,"{'0': '#ad8545', '1': '#221f17', '2': '#604d26'}"
24.0,20.5,1073,379239,Work on paper,Bed,4546083740,"Bourgeois, Louise 1911-2010",https://api.collectorsystems.com/11184/objects/379239/mainimage,"{'0': '#e9e7de', '1': '#4e4b46', '2': '#b6b4af'}"
50.0,38.0,1074,379240,Work on paper,Zuflucht,4736676857,"Bowman, John b. 1953",https://api.collectorsystems.com/11184/objects/379240/mainimage,"{'0': '#73706d', '1': '#b3b2b0', '2': '#d1d1d0'}"
68.0,96.0,1075,379241,Painting,Untitled,6109913539,"Brauntuch, Troy b. 1954",https://api.collectorsystems.com/11184/objects/379241/mainimage,"{'0': '#454b4b', '1': '#818584', '2': '#182020'}"
72.0,72.0,1144,379243,Painting,Public Spirit,2405306781,"Essenhigh, Inka b. 1969",https://api.collectorsystems.com/11184/objects/379243/mainimage,"{'0': '#504d25', '1': '#959867', '2': '#7a7523'}"
,,1145.3,379244,Installation,"Reverse, Perverse, Inverse",5643167225,"Evans, Cerith Wyn b. 1958",https://api.collectorsystems.com/11184/objects/379244/mainimage,"{'0': '#c5c8c4', '1': '#3f4747', '2': '#929c99'}"
13.375,5.5,1146,379245,Installation,Untitled,2857693730,"Evans, Cerith Wyn b. 1958",https://api.collectorsystems.com/11184/objects/379245/mainimage,"{'0': '#175555', '1': '#0f1718', '2': '#60bed0'}"
35.0,27.5,1147.4,379246,Photographs,Untitled (98.9),8692628819,"Barth, Uta",https://api.collectorsystems.com/11184/objects/379246/mainimage,"{'0': '#d5ceb9', '1': '#5f5b52', '2': '#fbfaf7'}"
10.75,13.75,1148,379247,Work on paper,Crowd Study (Legian) No. 21,2944905828,"Baechler, Donald b. 1956",https://api.collectorsystems.com/11184/objects/379247/mainimage,"{'0': '#0e1418', '1': '#e3e5de', '2': '#7e837c'}"
10.75,13.75,1149,379248,Work on paper,Crowd Study (Legian) No. 23,5050236156,"Baechler, Donald b. 1956",https://api.collectorsystems.com/11184/objects/379248/mainimage,"{'0': '#908e7c', '1': '#e5e6db', '2': '#13181c'}"
10.75,13.75,1150,379249,Work on paper,Crowd Study (Legian) No. 14,3073318246,"Baechler, Donald b. 1956",https://api.collectorsystems.com/11184/objects/379249/mainimage,"{'0': '#edede3', '1': '#10100e', '2': '#c9be8a'}"
10.75,13.75,1151,379250,Work on paper,Crowd Study (Legian) No. 16,4202185690,"Baechler, Donald b. 1956",https://api.collectorsystems.com/11184/objects/379250/mainimage,"{'0': '#18191c', '1': '#f3efd9', '2': '#9f9c81'}"
55.125,94.5,1153.2,379251,Installation,Condominium,3541229887,"Ackermann, Franz b. 1963",https://api.collectorsystems.com/11184/objects/379251/mainimage,"{'0': '#4d4c4a', '1': '#a4a39f', '2': '#e7e4dd'}"
21.5,25.75,1154.3,379252,Photographs,Tuesday (1440 Minutes),9842853544,"Almond, Darren b. 1971",https://api.collectorsystems.com/11184/objects/379252/mainimage,"{'0': '#faf9f2', '1': '#391c08', '2': '#b58c38'}"
4.25,6.0,1155.22,379253,Work on paper,Self Portrait,7323678512,"Close, Chuck b. 1940",https://api.collectorsystems.com/11184/objects/379253/mainimage,"{'0': '#4c4333', '1': '#a79d82', '2': '#d6ccb8'}"
69.0,69.0,1220,379254,Painting,For the Mine (Tunnel),7285915299,"Hansell, Freya b. 1947",https://api.collectorsystems.com/11184/objects/379254/mainimage,"{'0': '#1d242a', '1': '#686156', '2': '#c7bda3'}"
41.75,50.5,1222,379256,Painting,Untitled �A�,6476387641,"Held, Al 1928-2005",https://api.collectorsystems.com/11184/objects/379256/mainimage,"{'0': '#4d5760', '1': '#cec9bc', '2': '#1f0c06'}"
54.0,48.0,1223,379257,Painting,Night Fishing,2813344935,"Hennessy, Richard b. 1941",https://api.collectorsystems.com/11184/objects/379257/mainimage,"{'0': '#a38e4d', '1': '#743722', '2': '#1a1e3d'}"
167.0,57.25,1224,379258,Painting,East/West,3108073790,"Hilliard, John b. 1945",https://api.collectorsystems.com/11184/objects/379258/mainimage,"{'0': '#ccccd3', '1': '#8a8493', '2': '#141313'}"
112.0,37.5,1226,379260,Painting,Cloud Triptych #23,2639024576,"Aronson, Jan b. 1949",https://api.collectorsystems.com/11184/objects/379260/mainimage,"{'0': '#decfce', '1': '#818799', '2': '#1f2b44'}"
204.0,132.0,1228,379262,Painting,Biotin-Propranolol Analog,9065562277,"Hirst, Damien b. 1965",https://api.collectorsystems.com/11184/objects/379262/mainimage,"{'0': '#776553', '1': '#fcfaf0', '2': '#d1bea7'}"
133.5,84.0,1288,379264,Painting,Truth,4369436723,"Lemieux, Annette b. 1957",https://api.collectorsystems.com/11184/objects/379264/mainimage,"{'0': '#814e4a', '1': '#d7ccc7', '2': '#181211'}"
30.0,25.0,1289,379265,Work on paper,Red Lamp,4456764981,"Lichtenstein, Roy 1923-1997",https://api.collectorsystems.com/11184/objects/379265/mainimage,"{'0': '#cecbd9', '1': '#261c18', '2': '#c19614'}"
68.5,92.5,1292,379268,Painting,Untitled,5920726557,"Linssen, Jupp b. 1957",https://api.collectorsystems.com/11184/objects/379268/mainimage,"{'0': '#cec0a5', '1': '#252823', '2': '#827b63'}"
70.0,59.0,1293,379269,Painting,Baby No.7,6200824614,"Liuming, Ma b. 1969",https://api.collectorsystems.com/11184/objects/379269/mainimage,"{'0': '#a07956', '1': '#e1b591', '2': '#282d2c'}"
70.0,50.0,1294,379270,Painting,Anything Else,1158777921,"Loeb, Damian b. 1970",https://api.collectorsystems.com/11184/objects/379270/mainimage,"{'0': '#231f20', '1': '#a67340', '2': '#6776c1'}"
37.5,57.0,1296,379272,Photographs,Intermezzo,4451132449,"Luyten, Mark b. 1955",https://api.collectorsystems.com/11184/objects/379272/mainimage,"{'0': '#f8f6fb', '1': '#272838', '2': '#988e97'}"
17.0,14.5,1298,379274,Work on paper,Current Events,7610014986,"MacConnel, Kim b. 1946",https://api.collectorsystems.com/11184/objects/379274/mainimage,"{'0': '#1f3638', '1': '#7c6160', '2': '#c1ad81'}"
22.0,21.0,1351,379276,Painting,Untitled (#89),8454724347,"Nelson, Joan b. 1958",https://api.collectorsystems.com/11184/objects/379276/mainimage,"{'0': '#70621d', '1': '#392102', '2': '#8b8645'}"
39.375,59.0625,1352,379277,Installation,Untitled,6863344703,"Neuenschwander, Rivane b. 1967",https://api.collectorsystems.com/11184/objects/379277/mainimage,"{'0': '#f8f5ee', '1': '#dfd7ca', '2': '#b7aea0'}"
40.0,60.0,1355,379280,Painting,"American Totem, Red Ring Rooster",3009271992,"Nice, Don b. 1932",https://api.collectorsystems.com/11184/objects/379280/mainimage,"{'0': '#a67569', '1': '#f6f5f3', '2': '#cfc5b3'}"
35.1875,26.6875,1357,379282,Work on paper,"Bather with Towel I, Sagaponack",0172040583,"Nickson, Graham b. 1946",https://api.collectorsystems.com/11184/objects/379282/mainimage,"{'0': '#3e3f34', '1': '#746e56', '2': '#959281'}"
48.0,81.0,1359,379284,Painting,Thales Enthralled - I,0472888368,"Olitski, Jules b. 1922",https://api.collectorsystems.com/11184/objects/379284/mainimage,"{'0': '#717588', '1': '#464b59', '2': '#606476'}"
96.0,30.0,1361,379286,Installation,A Tale of Two Tables: Brother + Sister Tables,5449106432,"Otterson, Joel",https://api.collectorsystems.com/11184/objects/379286/mainimage,"{'0': '#cfc0b8', '1': '#81746f', '2': '#2d323c'}"
15.0,20.0,1362,379287,Video  installation,Anvil,0599734352,"Oursler, Tony b. 1957",https://api.collectorsystems.com/11184/objects/379287/mainimage,"{'0': '#382928', '1': '#ecd8db', '2': '#b04f4a'}"
96.0,78.0,1419,379288,Painting,Pandemoniac Junk Shop of Feeling,6187019074,"Salle, David b. 1952",https://api.collectorsystems.com/11184/objects/379288/mainimage,"{'0': '#242117', '1': '#d1b595', '2': '#644626'}"
108.0,73.0,1420.6,379289,Photographs,Wand (Mural),2345131280,"Demand, Thomas b. 1964",https://api.collectorsystems.com/11184/objects/379289/mainimage,"{'0': '#111713', '1': '#8ba495', '2': '#596c55'}"
90.0,72.0,1421,379290,Painting,Pavane,1906915605,"Salle, David b. 1952",https://api.collectorsystems.com/11184/objects/379290/mainimage,"{'0': '#3d2f27', '1': '#dcbd9d', '2': '#aa805a'}"
100.0,89.5,1422,379291,Painting,Sterotropic,1953131246,"Salle, David b. 1952",https://api.collectorsystems.com/11184/objects/379291/mainimage,"{'0': '#1d1815', '1': '#b69c72', '2': '#608289'}"
